municipio,provincia,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y
Vigo,Pontevedra,-8.819027900695744,42.264583587646484,-8.626853942871035,42.13241577148449
Lalín,Pontevedra,-8.264524459838754,42.78101348876953,-7.988076210021972,42.533840179443466
Silleda,Pontevedra,-8.369193077087402,42.78389358520519,-8.19689655303955,42.5902938842774
Ciutadella de Menorca,Baleares,3.790694952011052,40.06263732910156,3.986350059509334,39.92124938964855
Mahón,Baleares,4.208193778991699,40.02236175537104,4.212916851043758,40.01374816894542
Muro,Baleares,3.021959066390991,39.81467819213873,3.146249055862484,39.702114105224666
Telde,Las Palmas,-15.531429290771483,28.03724670410162,-15.357638359069824,27.927600860595703
Munilla,La Rioja,-2.401875972747746,42.248779296875114,-2.255115985870361,42.136947631835994
Ábalos,La Rioja,-2.727847099304199,42.59982299804687,-2.680489063262939,42.527488708496094
Miranda de Ebro,La Rioja,-2.999321937561035,42.61547851562506,-2.982801914214974,42.60093688964844
Villaverde de Rioja,La Rioja,-2.846174955367985,42.33466339111328,-2.790041923522892,42.304630279541016
Ausejo,La Rioja,-2.193773031234741,42.390975952148494,-2.078922033309937,42.31601715087896
El Redal,La Rioja,-2.216485977172794,42.376594543456974,-2.186005115509033,42.32432556152355
Salvatierra,Álava,-2.423549890518132,42.89482498168951,-2.400957107543831,42.882499694824276
Hondón de los Frailes,Alicante,-0.962366998195591,38.286014556884766,-0.899652004241887,38.25393676757818
Cervera del Maestre,Castellón,0.211563006043434,40.49980926513672,0.345793008804378,40.393402099609375
La Vall d'Uixó,Castellón,-0.308512985706273,39.863567352294865,-0.171226993203106,39.770568847656364
Valencia,Valencia,-0.432484000921249,39.56232070922857,-0.275417000055313,39.279251098632756
Xàtiva,Valencia,-0.434855997562352,39.07144165039068,-0.374148994684219,39.03838348388672
Burjassot,Valencia,-0.427643001079502,39.520168304443416,-0.396461993455887,39.49803161621088
Puebla de San Miguel,Valencia,-1.191684007644653,40.11475753784191,-1.071710944175607,40.0101203918457
Chelva,Valencia,-1.146770000457763,39.849491119384766,-0.88336801528925,39.613487243652344
Higueruelas,Valencia,-0.893990993499756,39.80389404296881,-0.830488979816437,39.738506317138665
Bèlgida,Valencia,-0.491892009973526,38.89840316772472,-0.444223999977055,38.81972503662121
La Pobla del Duc,Valencia,-0.466183006763401,38.92469024658203,-0.378331989049855,38.87845993041992
Baterno,Badajoz,-4.97462797164917,38.96332550048834,-4.831019878387394,38.882068634033196
Talarrubias,Badajoz,-5.339900970458984,39.33332443237299,-5.280252933502197,39.221633911132926
Castilblanco,Badajoz,-5.16545581817627,39.390625000000114,-5.010656833648682,39.21963500976568
Pueblonuevo del Guadiana,Badajoz,-6.809135913848876,38.96165847778325,-6.714509010314941,38.88544464111328
Llera,Badajoz,-6.153306007385253,38.51494216918945,-6.02008581161499,38.41195678710949
Facería 55,Navarra,-1.848202943801823,42.803226470947266,-1.820924043655338,42.79593658447271
Etxalar,Navarra,-1.680109977722168,43.27066802978521,-1.559131026267948,43.19559478759777
Igantzi,Navarra,-1.730602025985661,43.23976898193365,-1.647619009017944,43.19239044189453
Armañanzas,Navarra,-2.30665397644043,42.580078125000114,-2.272339105606079,42.48675155639643
Azuelo,Navarra,-2.376180887222233,42.63703155517584,-2.329313039779663,42.57634353637707
Facería 24,Navarra,-2.073673963546639,42.759605407714844,-2.04703688621521,42.73812484741222
Facería 71,Navarra,-2.194752931594849,42.642822265625114,-2.184034109115487,42.63137817382824
Sartaguda,Navarra,-2.067827939987183,42.41157150268566,-2.016139030456486,42.359024047851676
Lerga,Navarra,-1.5346599817276,42.597496032714844,-1.462445974349976,42.53486251831055
Liédena,Navarra,-1.310479998588505,42.632396697998104,-1.219182014465332,42.593654632568416
Pitillas,Navarra,-1.647308945655823,42.45629501342773,-1.508411049842834,42.381076812744084
Auritz,Navarra,-1.375941038131714,43.02956008911144,-1.297312974929753,42.94796371459961
Facería 15,Navarra,-1.18294894695282,42.65865325927746,-1.174021005630493,42.652336120605526
Vidángoz,Navarra,-1.041813015937805,42.87391281127941,-0.975340008735657,42.76890182495117
Belascoáin,Navarra,-1.852344036102181,42.76508331298839,-1.802142024040109,42.73796081542974
Ollo,Navarra,-1.918792963027954,42.888046264648494,-1.795235991477852,42.82820892333996
Olza,Navarra,-1.838552951812688,42.86024856567383,-1.690094947814941,42.791278839111385
San Vicente del Raspeig,Alicante,-0.594998002052307,38.48097991943371,-0.484741985797882,38.38012313842779
Muro de Alcoy,Alicante,-0.494466990232411,38.82645797729497,-0.402581989765167,38.75917434692394
Morcillo,Cáceres,-6.430947780609074,40.037242889404354,-6.391051769256535,39.95989608764643
Perales del Puerto,Cáceres,-6.729141235351506,40.18468093872076,-6.650381088256836,40.10100555419922
Arroyomolinos,Cáceres,-6.215722084045296,39.20396804809582,-6.078824043273925,39.031589508056584
Torreorgaz,Cáceres,-6.287034034728947,39.404827117920036,-6.230165004730225,39.28691101074219
Láncara,Lugo,-7.453049182891845,42.92533874511713,-7.219234943389836,42.77584457397472
Lugo,Lugo,-7.735107898712158,43.09846496582037,-7.405829906463622,42.88327026367193
Entrimo,Ourense,-8.216912269592171,42.011211395263786,-8.07307243347168,41.895965576171875
A Veiga,Ourense,-7.105897903442326,42.36343383789057,-6.78699684143055,42.172245025634766
O Barco de Valdeorras,Ourense,-7.042945861816406,42.505680084228516,-6.904841899871826,42.3547134399414
Ponte Caldelas,Pontevedra,-8.59498500823969,42.43042373657238,-8.431523323059082,42.337127685546875
Cambados,Pontevedra,-8.829583168029785,42.541053771972656,-8.75599002838129,42.49791717529297
Dénia,Alicante,-0.044452000409308,38.88569259643555,0.010138001292944,38.839328765869084
La Haba,Badajoz,-5.842965126037597,38.950817108154354,-5.753393173217717,38.79386901855469
Collado,Cáceres,-5.734043121337891,40.06877899169927,-5.626875877380257,39.983768463134766
Casas del Castañar,Cáceres,-6.000792980194035,40.13257598876964,-5.887554168701172,40.07053756713867
Casas de Don Gómez,Cáceres,-6.650836944580021,40.05005645751953,-6.555733203887939,39.976043701171875
Alegia,Guipúzcoa,-2.123246908187866,43.11725616455078,-2.06797289848322,43.07810211181652
Lazkao,Guipúzcoa,-2.205759048461914,43.04841232299816,-2.154295921325684,42.999160766601506
Ordizia,Guipúzcoa,-2.206078052520695,43.084239959716854,-2.16164588928217,43.03852462768566
Usurbil,Guipúzcoa,-2.095810890197754,43.29854965209961,-2.01719689369196,43.23940658569336
Igorre,Vizcaya,-2.820574045181274,43.1921005249024,-2.736654043197575,43.15315628051769
Lemoiz,Vizcaya,-2.923544883728027,43.43875122070324,-2.870297908782959,43.38591384887695
Sopuerta,Vizcaya,-3.209462881088257,43.30683135986328,-3.132122039794922,43.20415115356445
Ugao-Miraballes,Vizcaya,-2.920897006988469,43.20418548583996,-2.906601905822754,43.19243240356457
Gozón,Asturias,-5.946528911590519,43.66152954101574,-5.767084121704102,43.5522079467774
Navia,Asturias,-6.736146926879826,43.575138092041016,-6.6137499809264,43.48469924926758
Ponga,Asturias,-5.288873195648193,43.28337860107422,-5.053225994110051,43.09019470214844
Las Regueras,Asturias,-6.035460948944092,43.47484588623041,-5.918507099151611,43.36769485473644
Cantoria,Almería,-2.25195407867426,37.38522720336914,-2.106843948364144,37.30292892456066
Sierro,Almería,-2.421505928039494,37.33926010131836,-2.364881038665715,37.24998092651367
Alcudia de Monteagud,Almería,-2.280860900878906,37.27158737182623,-2.230762958526554,37.20392227172863
Senés,Almería,-2.374300956726074,37.25930404663086,-2.291929960250854,37.14276885986334
Láujar de Andarax,Almería,-2.950445890426636,37.09691238403332,-2.858838081359863,36.90505218505859
Alcalá de los Gazules,Cádiz,-5.838776111602783,36.55625152587896,-5.559263229370117,36.317512512207145
Barbate,Cádiz,-6.054305076599064,36.24496078491211,-5.786643028259277,36.12761688232422
Setenil de las Bodegas,Cádiz,-5.269635200500487,36.928432464599666,-5.086628913879395,36.823577880859375
Añora,Córdoba,-4.932238101959229,38.435077667236385,-4.80374097824091,38.21188354492199
Fuente Palmera,Córdoba,-5.156940937042123,37.79013824462901,-5.030362129211426,37.66063690185558
Doña Mencía,Córdoba,-4.388816833496037,37.5793571472168,-4.345817089080697,37.52489852905279
